sample-id,type,species
#q2:types,categorical,categorical
ATPU01,bird,Fratercula_arctica
ATPU02,bird,Fratercula_arctica
ATPU03,bird,Fratercula_arctica
ATPU56,bird,Fratercula_arctica
ATPU58,bird,Fratercula_arctica
BLKI01,bird,Rissa_tridactyla
BLKI02,bird,Rissa_tridactyla
BLKI03,bird,Rissa_tridactyla
BLKI04,bird,Rissa_tridactyla
BLKI05,bird,Rissa_tridactyla
COMU-42,bird,Uria_aalge
COMU43,bird,Uria_aalge
COMU44,bird,Uria_aalge
COMU46,bird,Uria_aalge
NOGA27,bird,Morus_bassanus
NOGA30,bird,Morus_bassanus
NOGA31,bird,Morus_bassanus
NOGA32,bird,Morus_bassanus
NOGA33,bird,Morus_bassanus
